satisfaction,evaluation,number_of_projects,average_montly_hours,time_spend_company,work_accident,churn,promotion,department,salary
1.0,0.89,three,194.0,3+,no,no,no,sales,medium
0.49,0.98,three,267.0,3+,yes,no,no,sales,medium
0.51,0.63,three,183.0,2+,no,no,no,sales,medium
0.63,0.64,three,174.0,2+,no,no,no,accounting,medium
0.91,0.63,four,240.0,3+,no,no,no,accounting,low
0.54,0.5,two,123.0,4+,yes,no,no,accounting,low
1.0,0.59,four,174.0,3+,no,no,no,hr,low
0.64,0.91,five,246.0,3+,no,no,no,hr,low
0.65,0.96,five,173.0,2+,no,no,no,hr,low
0.15,0.93,four,185.0,5+,no,no,no,hr,low
0.81,0.83,four,259.0,3+,yes,no,no,technical,low
0.61,0.83,three,112.0,4+,yes,no,no,technical,low
0.86,0.55,five,219.0,2+,no,no,no,technical,medium
0.71,0.62,three,258.0,2+,no,no,no,technical,medium
0.72,0.82,five,287.0,3+,no,no,no,technical,medium
0.84,0.37,five,186.0,2+,no,no,no,technical,medium
0.38,0.74,three,159.0,4+,no,no,no,technical,medium
0.75,0.56,four,230.0,3+,no,no,no,technical,medium
0.93,0.77,five,106.0,5+,no,no,no,technical,medium
0.71,0.64,four,189.0,3+,no,no,no,technical,medium
0.75,0.96,three,252.0,3+,no,no,no,technical,medium
0.56,0.68,four,220.0,2+,no,no,no,support,medium
0.57,0.82,five,218.0,3+,no,no,no,support,medium
0.63,0.83,four,145.0,4+,no,no,no,support,medium
0.59,0.91,four,142.0,3+,yes,no,no,support,medium
0.77,0.62,three,218.0,2+,no,no,no,support,medium
0.65,0.7,four,157.0,4+,no,no,no,support,medium
0.84,0.49,four,178.0,3+,no,no,no,support,medium
0.9,0.45,four,241.0,6+,no,no,no,support,medium
0.6,0.83,three,230.0,3+,no,no,no,support,medium
0.9,0.74,five,249.0,3+,no,no,no,support,medium
0.94,0.7,five,147.0,2+,no,no,no,support,medium
0.56,0.9,four,115.0,3+,no,no,no,technical,medium
0.95,0.86,five,143.0,3+,no,no,no,technical,medium
0.97,0.85,four,219.0,3+,no,no,no,technical,medium
0.55,0.63,four,218.0,2+,no,no,no,management,medium
0.79,0.6,five,235.0,2+,no,no,no,IT,medium
0.49,0.76,five,237.0,3+,no,no,no,IT,high
0.49,0.58,five,186.0,2+,no,no,no,IT,high
0.57,0.65,five,177.0,2+,no,no,no,IT,high
0.89,0.81,four,228.0,4+,no,no,no,IT,high
0.66,0.59,three,204.0,3+,no,no,no,product_mng,high
0.94,0.77,five,210.0,3+,no,no,no,product_mng,high
0.98,0.95,four,250.0,2+,yes,no,no,product_mng,high
0.18,0.52,five,185.0,6+,no,no,no,product_mng,high
0.57,0.73,three,146.0,3+,no,no,no,IT,high
0.67,0.55,three,217.0,2+,no,no,no,RandD,high
0.12,0.61,six,172.0,6+,no,no,no,RandD,high
0.48,0.95,three,184.0,2+,no,no,no,RandD,high
0.61,0.97,three,148.0,3+,no,no,no,RandD,low
0.23,0.52,five,236.0,4+,no,no,no,RandD,low
0.4,0.38,three,280.0,2+,no,no,no,marketing,low
0.57,0.6,three,218.0,3+,no,no,no,sales,low
0.95,0.98,five,155.0,3+,no,no,no,accounting,low
0.93,0.66,four,242.0,4+,no,no,no,support,low
0.7,0.88,three,166.0,5+,no,no,no,technical,low
0.58,0.9,four,175.0,3+,yes,no,no,management,low
0.52,0.95,five,234.0,3+,no,no,no,marketing,low
0.98,0.88,five,232.0,3+,no,no,no,marketing,low
0.93,0.94,four,156.0,3+,yes,no,no,marketing,low
0.34,0.63,five,248.0,3+,no,no,no,sales,low
0.87,0.75,four,218.0,2+,no,no,no,sales,low
0.52,0.96,five,251.0,2+,yes,no,no,sales,low
0.58,0.91,four,173.0,4+,no,no,no,sales,low
0.65,0.51,four,157.0,3+,yes,no,no,sales,medium
0.74,0.59,three,274.0,3+,no,no,no,sales,medium
0.63,0.7,five,182.0,3+,no,no,no,sales,medium
0.74,0.74,four,233.0,2+,no,no,no,sales,medium
0.65,1.0,four,249.0,3+,no,no,no,sales,medium
0.48,0.94,three,162.0,3+,yes,no,no,sales,medium
0.84,0.75,three,184.0,3+,no,no,no,sales,medium
0.6,0.62,three,135.0,2+,no,no,no,sales,medium
0.56,0.57,three,143.0,2+,no,no,no,sales,medium
0.13,0.8,five,203.0,5+,no,no,no,sales,medium
0.83,0.51,five,143.0,4+,no,no,no,sales,medium
0.91,0.42,two,142.0,3+,yes,no,no,sales,medium
0.97,0.97,five,171.0,2+,no,no,no,sales,high
0.9,0.96,three,223.0,4+,no,no,no,sales,high
0.57,0.87,four,148.0,3+,no,no,no,sales,high
0.84,0.79,six,140.0,2+,no,no,no,accounting,high
0.84,0.74,four,226.0,2+,no,no,no,accounting,high
0.17,0.93,five,183.0,5+,no,no,no,accounting,high
0.97,0.86,five,135.0,3+,no,no,no,hr,high
0.94,0.66,three,236.0,2+,no,no,no,hr,high
0.83,0.61,five,257.0,2+,no,no,no,hr,low
0.91,0.73,three,155.0,3+,no,no,no,hr,low
0.9,0.76,two,211.0,4+,no,no,no,technical,low
0.95,0.86,three,207.0,2+,no,no,no,technical,low
0.69,0.95,three,126.0,6+,no,no,no,technical,low
0.49,0.98,three,267.0,2+,no,no,no,technical,low
0.45,0.37,six,226.0,2+,no,no,no,technical,low
0.21,0.9,two,239.0,2+,no,no,no,technical,low
0.67,0.61,three,202.0,2+,no,no,no,technical,medium
0.76,0.62,three,150.0,2+,yes,no,no,technical,medium
0.19,0.78,five,156.0,6+,no,no,no,technical,medium
0.52,0.73,two,233.0,3+,no,no,no,technical,medium
0.66,0.59,five,262.0,2+,no,no,no,technical,medium
0.95,0.67,three,183.0,3+,no,no,no,support,medium
0.95,0.78,four,225.0,2+,no,no,no,support,medium
0.57,0.54,five,216.0,3+,no,no,no,support,medium
0.48,0.57,five,227.0,3+,no,no,no,support,medium
0.95,0.5,four,242.0,2+,no,no,no,support,medium
0.7,0.67,four,224.0,3+,no,no,no,support,medium
0.48,0.61,three,223.0,3+,yes,no,no,support,medium
0.62,0.58,three,202.0,2+,no,no,no,support,medium
0.58,0.76,three,220.0,3+,no,no,no,support,medium
1.0,0.87,four,129.0,5+,no,no,no,support,medium
0.79,0.65,two,193.0,5+,no,no,no,support,medium
0.58,0.73,three,165.0,2+,no,no,no,technical,medium
0.59,0.79,four,209.0,2+,no,no,no,technical,medium
0.66,0.8,four,183.0,2+,yes,no,no,technical,medium
0.71,0.59,four,138.0,3+,no,no,no,management,medium
0.9,0.74,five,152.0,3+,no,no,no,IT,medium
0.74,0.63,four,170.0,2+,no,no,no,IT,medium
0.66,0.93,five,185.0,3+,no,no,no,IT,medium
0.92,0.53,two,249.0,2+,no,no,no,IT,high
0.55,0.51,four,155.0,3+,no,no,no,IT,low
0.51,0.43,three,204.0,4+,no,no,no,product_mng,medium
0.49,0.52,five,188.0,4+,no,no,no,product_mng,medium
0.88,0.52,five,264.0,4+,no,no,no,product_mng,medium
0.6,0.8,four,146.0,2+,no,no,no,product_mng,medium
0.93,0.65,four,212.0,4+,no,no,no,IT,medium
0.86,0.59,three,215.0,3+,no,no,no,RandD,medium
0.78,0.98,four,239.0,3+,no,no,no,RandD,medium
0.69,0.55,three,188.0,3+,no,no,no,RandD,medium
0.84,0.51,four,259.0,3+,no,no,no,RandD,medium
0.48,0.62,three,200.0,3+,yes,no,no,RandD,medium
0.63,0.86,three,245.0,2+,no,no,no,marketing,low
0.54,0.61,three,182.0,2+,no,no,no,sales,low
0.85,0.53,four,181.0,2+,no,no,no,accounting,low
0.51,0.52,three,164.0,3+,no,no,no,support,low
0.88,0.86,five,257.0,3+,no,no,no,technical,low
0.87,0.93,three,178.0,3+,no,no,no,management,low
0.54,0.5,four,224.0,3+,no,no,no,marketing,low
0.96,0.67,five,170.0,3+,no,no,no,marketing,high
0.58,0.75,four,233.0,2+,no,no,no,marketing,low
0.21,0.57,five,239.0,3+,no,no,no,sales,high
0.5,0.56,five,185.0,2+,no,no,no,sales,high
0.52,0.54,four,184.0,3+,no,no,no,sales,low
0.5,0.7,three,188.0,2+,no,no,no,sales,low
0.74,0.86,three,186.0,3+,yes,no,no,sales,high
0.69,0.63,three,226.0,3+,no,no,no,sales,low
0.61,0.74,two,143.0,6+,no,no,no,sales,medium
0.5,0.82,three,213.0,3+,no,no,no,sales,high
0.79,0.53,two,217.0,2+,no,no,no,sales,medium
0.73,0.68,five,190.0,2+,no,no,no,sales,medium
0.49,0.69,two,147.0,2+,no,no,no,sales,medium
0.7,0.77,two,235.0,3+,yes,no,no,sales,medium
0.27,0.62,six,136.0,3+,no,no,no,sales,high
0.8,0.54,five,261.0,2+,no,no,no,sales,medium
0.45,0.6,six,176.0,4+,no,no,no,sales,medium
0.63,0.64,four,212.0,4+,no,no,no,sales,medium
0.76,0.52,two,148.0,3+,no,no,no,sales,high
0.42,0.74,six,218.0,6+,no,no,no,sales,medium
0.41,0.87,six,262.0,6+,no,no,no,sales,high
0.74,0.46,six,145.0,3+,no,no,no,accounting,low
0.82,0.75,three,230.0,4+,yes,no,no,accounting,medium
0.82,0.65,four,210.0,2+,no,no,no,accounting,medium
0.53,0.73,four,227.0,3+,no,no,no,hr,medium
0.71,0.77,four,142.0,2+,no,no,no,hr,medium
0.5,0.9,four,171.0,2+,no,no,no,hr,low
0.68,0.89,three,241.0,3+,no,no,no,hr,low
0.68,0.99,three,247.0,2+,yes,no,no,technical,low
0.48,0.86,five,246.0,3+,no,no,no,technical,low
0.59,0.72,three,188.0,3+,yes,no,no,technical,low
0.21,0.7,three,104.0,2+,no,no,no,technical,low
0.99,0.73,five,197.0,4+,yes,no,no,technical,low
1.0,0.88,four,191.0,4+,no,no,no,technical,low
0.84,0.51,four,173.0,2+,no,no,no,technical,low
0.86,0.82,two,207.0,4+,yes,no,no,technical,low
0.52,0.54,five,247.0,4+,no,no,no,technical,high
0.94,0.97,five,197.0,5+,yes,no,no,technical,low
0.55,0.81,three,242.0,2+,no,no,no,technical,low
0.79,0.59,three,145.0,2+,no,no,no,support,low
0.91,0.9,four,174.0,3+,no,no,no,support,low
0.82,0.99,three,195.0,2+,no,no,no,support,high
0.84,0.94,four,270.0,3+,yes,no,no,support,low
0.72,0.68,four,238.0,3+,no,no,no,support,low
0.68,0.85,four,156.0,2+,no,no,no,support,low
0.99,0.96,five,261.0,3+,no,no,no,support,high
0.74,0.85,five,135.0,2+,no,no,no,support,low
0.8,0.41,six,185.0,4+,no,no,no,support,medium
0.55,0.55,three,197.0,3+,no,no,no,support,high
0.56,0.95,three,241.0,3+,no,no,no,support,medium
0.88,0.98,three,263.0,3+,yes,no,no,technical,high
0.86,0.49,four,251.0,2+,no,no,no,technical,medium
0.64,0.95,three,218.0,2+,no,no,no,technical,medium
0.82,0.58,four,183.0,3+,no,no,no,management,medium
0.66,0.8,four,252.0,3+,no,no,no,IT,medium
0.64,0.95,three,98.0,3+,no,no,no,IT,medium
0.17,0.78,six,284.0,4+,no,no,no,IT,medium
0.75,0.68,four,220.0,2+,no,no,no,IT,medium
0.45,0.39,four,275.0,3+,no,no,no,IT,medium
0.99,0.9,four,164.0,3+,no,no,no,product_mng,high
0.93,0.67,five,237.0,4+,no,no,no,product_mng,low
0.88,0.8,three,133.0,3+,no,no,no,product_mng,medium
0.62,0.52,five,256.0,4+,no,no,no,product_mng,medium
0.94,0.88,four,270.0,3+,no,no,no,IT,medium
0.59,0.92,four,196.0,2+,no,no,no,RandD,medium
0.93,0.89,four,209.0,2+,no,no,no,RandD,medium
0.71,0.39,three,261.0,3+,no,no,no,RandD,medium
0.6,0.6,three,221.0,2+,no,no,no,RandD,medium
0.71,0.69,four,180.0,3+,yes,no,no,RandD,medium
0.91,0.57,four,145.0,3+,no,no,no,marketing,medium
0.78,0.96,four,111.0,2+,no,no,no,sales,high
0.52,0.63,four,232.0,3+,no,no,no,accounting,low
0.99,0.7,five,195.0,3+,no,no,no,support,low
0.86,0.51,four,211.0,2+,yes,no,no,technical,low
0.74,0.68,four,194.0,2+,no,no,no,management,high
0.15,0.84,four,275.0,5+,no,no,no,marketing,low
0.57,0.54,three,140.0,3+,no,no,no,marketing,low
0.67,0.6,three,157.0,3+,no,no,no,marketing,low
0.8,0.93,four,258.0,3+,no,no,no,sales,high
0.83,0.82,five,273.0,4+,no,no,no,sales,low
0.69,0.53,three,135.0,2+,no,no,no,sales,low
0.64,0.83,three,188.0,4+,no,no,no,sales,low
0.95,0.52,five,222.0,2+,no,no,no,sales,low
0.97,0.52,four,231.0,3+,no,no,no,sales,low
0.85,0.86,three,255.0,2+,no,no,no,sales,low
0.72,0.51,three,254.0,2+,no,no,no,sales,low
0.91,0.85,three,244.0,3+,yes,no,no,sales,medium
0.81,0.83,three,132.0,4+,no,no,no,sales,medium
0.13,0.67,five,234.0,6+,no,no,no,sales,medium
0.95,0.81,four,272.0,3+,no,no,no,sales,medium
0.82,0.54,four,191.0,3+,no,no,no,sales,medium
0.63,0.93,four,238.0,4+,no,no,no,sales,medium
0.55,0.69,three,225.0,2+,no,no,no,sales,medium
0.83,0.95,three,211.0,2+,no,no,no,sales,medium
0.54,0.98,three,217.0,3+,no,no,no,sales,medium
0.89,0.91,five,156.0,4+,no,no,no,sales,medium
0.79,0.55,three,147.0,3+,no,no,no,sales,medium
0.56,0.73,four,134.0,3+,no,no,no,accounting,medium
0.89,0.7,four,235.0,2+,yes,no,no,accounting,high
1.0,0.66,four,238.0,4+,no,no,no,accounting,low
0.43,0.72,three,258.0,4+,no,no,no,hr,medium
0.71,0.55,five,224.0,3+,no,no,no,hr,medium
0.98,0.59,four,149.0,2+,no,no,no,hr,medium
0.81,0.7,four,219.0,2+,yes,no,no,hr,medium
0.71,0.53,three,186.0,2+,no,no,no,technical,low
0.99,0.6,four,259.0,4+,no,no,no,technical,low
0.34,0.62,three,119.0,2+,no,no,no,technical,low
0.58,0.91,three,223.0,2+,no,no,no,technical,low
0.77,0.49,four,184.0,3+,no,no,no,technical,low
0.64,0.5,three,238.0,4+,no,no,no,technical,low
0.13,1.0,four,157.0,5+,yes,no,no,technical,low
0.98,0.6,two,249.0,3+,no,no,no,technical,low
0.72,0.84,four,195.0,2+,no,no,no,technical,low
0.55,0.79,three,162.0,2+,no,no,no,technical,low
0.62,0.91,four,231.0,3+,no,no,no,technical,low
0.74,0.91,two,264.0,3+,no,no,no,support,low
0.69,0.96,three,210.0,3+,no,no,no,support,low
0.6,0.63,four,192.0,3+,no,no,no,support,low
0.54,0.43,three,192.0,2+,no,no,no,support,low
0.56,0.75,four,249.0,3+,no,no,no,support,low
0.58,0.86,five,206.0,3+,no,no,no,support,low
0.21,0.66,four,165.0,5+,no,no,no,support,low
0.52,0.85,five,183.0,3+,no,no,no,support,low
0.98,0.7,four,253.0,2+,no,no,no,support,low
0.85,0.97,three,256.0,3+,no,no,no,support,low
0.62,0.88,two,263.0,4+,no,no,no,support,medium
0.63,0.61,three,234.0,3+,yes,no,no,technical,medium
0.84,0.97,six,223.0,2+,no,no,no,technical,medium
0.71,0.69,two,172.0,3+,no,no,no,technical,medium
0.36,0.55,six,226.0,6+,no,no,no,management,medium
0.79,0.56,six,205.0,4+,yes,no,no,IT,medium
0.59,0.55,four,235.0,2+,no,no,no,IT,medium
0.5,0.53,four,263.0,3+,no,no,no,IT,medium
0.88,0.66,four,271.0,3+,yes,no,no,IT,medium
0.65,0.69,six,131.0,5+,no,no,no,IT,medium
0.71,0.56,four,238.0,4+,no,no,no,product_mng,medium
0.89,0.54,three,214.0,2+,no,no,no,product_mng,medium
0.83,0.84,three,267.0,3+,no,no,no,product_mng,high
0.73,0.53,three,184.0,2+,no,no,no,product_mng,low
0.71,0.67,three,264.0,3+,no,no,no,IT,medium
0.53,0.66,three,109.0,2+,no,no,no,RandD,medium
0.74,0.7,three,253.0,4+,yes,no,no,RandD,medium
0.6,0.52,four,207.0,2+,yes,no,no,RandD,medium
0.47,0.6,four,263.0,5+,no,no,no,RandD,low
0.88,0.88,three,214.0,2+,yes,no,no,RandD,low
0.62,0.67,two,153.0,3+,no,no,no,marketing,low
0.24,0.48,five,123.0,5+,yes,no,no,sales,low
0.15,0.36,five,159.0,2+,no,no,no,accounting,low
0.92,0.82,three,185.0,3+,no,no,no,support,low
0.74,0.7,four,167.0,3+,yes,no,no,technical,low
0.86,0.77,three,271.0,3+,no,no,no,management,low
0.96,0.61,three,140.0,3+,no,no,no,marketing,low
0.54,0.6,four,141.0,3+,no,no,no,marketing,low
0.99,0.87,four,190.0,2+,no,no,no,marketing,low
0.72,0.73,five,134.0,2+,no,no,no,sales,low
0.96,0.75,five,176.0,4+,no,no,no,sales,low
0.73,0.73,four,194.0,2+,no,no,no,sales,low
0.67,0.44,five,212.0,4+,no,no,no,sales,low
0.58,,five,234.0,3+,yes,no,no,sales,low
0.9,0.99,four,190.0,2+,no,no,no,sales,low
0.99,0.37,five,155.0,3+,no,no,no,sales,low
0.89,0.58,four,232.0,2+,no,no,no,sales,low
0.72,0.95,four,216.0,3+,no,no,no,sales,low
0.77,0.8,three,207.0,3+,no,no,no,sales,low
0.8,0.94,four,200.0,4+,no,no,no,sales,medium
0.89,0.86,three,178.0,4+,no,no,no,sales,medium
0.59,0.81,four,173.0,2+,no,no,no,sales,medium
0.24,0.87,five,268.0,5+,no,no,no,sales,medium
0.94,0.59,six,212.0,2+,no,no,no,sales,medium
0.74,0.5,four,216.0,3+,no,no,no,sales,medium
0.63,0.62,five,212.0,6+,no,no,no,sales,medium
0.63,0.59,three,155.0,3+,yes,no,no,sales,medium
0.77,0.65,four,164.0,2+,no,no,no,sales,medium
0.87,0.74,three,209.0,3+,no,no,no,accounting,medium
0.79,0.61,four,136.0,3+,no,no,no,accounting,medium
0.54,0.84,four,223.0,3+,no,no,no,accounting,medium
0.59,0.83,four,239.0,4+,no,no,no,hr,high
0.86,0.87,three,205.0,4+,no,no,no,hr,low
0.98,0.68,three,203.0,3+,no,no,no,hr,medium
1.0,0.79,five,152.0,4+,no,no,no,hr,medium
0.9,0.79,four,236.0,3+,yes,no,no,technical,medium
0.34,0.6,four,114.0,3+,no,no,no,technical,medium
0.95,0.93,three,209.0,2+,no,no,no,technical,low
0.79,0.48,four,178.0,2+,no,no,no,technical,low
0.13,0.91,four,175.0,5+,no,no,no,technical,low
0.72,0.69,three,270.0,4+,no,no,no,technical,low
0.63,0.54,three,145.0,2+,yes,no,no,technical,low
0.81,0.76,five,134.0,2+,no,no,no,technical,low
0.71,0.75,four,272.0,4+,no,no,no,technical,low
0.49,0.76,three,208.0,2+,no,no,no,technical,low
0.59,0.65,four,219.0,3+,yes,no,no,technical,low
0.87,0.59,five,154.0,3+,no,no,no,support,low
0.66,0.6,three,179.0,4+,no,no,no,support,low
0.78,0.92,five,137.0,2+,no,no,no,support,low
0.65,0.7,four,211.0,2+,no,no,no,support,low
0.8,0.97,five,271.0,4+,no,no,no,support,low
0.56,0.75,four,192.0,2+,no,no,no,support,low
0.85,0.67,four,228.0,4+,no,no,no,support,low
0.14,0.46,two,267.0,6+,yes,no,no,support,low
0.74,0.62,four,272.0,2+,no,no,no,support,low
0.86,0.93,two,260.0,2+,no,no,no,support,low
0.71,0.96,four,161.0,3+,no,no,no,support,low
0.83,0.99,four,226.0,2+,no,no,no,technical,low
0.52,0.49,four,249.0,4+,yes,no,no,technical,medium
0.63,0.8,three,243.0,3+,no,no,no,technical,medium
0.92,0.93,four,247.0,2+,no,no,no,management,medium
0.66,0.87,three,186.0,2+,no,no,no,IT,medium
0.77,0.7,three,155.0,3+,no,no,no,IT,medium
0.74,0.97,two,135.0,4+,no,no,no,IT,medium
0.81,0.76,five,198.0,4+,no,no,no,IT,medium
0.67,0.55,three,175.0,2+,no,no,no,IT,medium
0.75,0.92,three,192.0,3+,no,no,no,product_mng,medium
0.65,0.36,two,282.0,3+,no,no,no,product_mng,medium
0.81,0.6,four,179.0,3+,no,no,no,product_mng,medium
0.57,0.77,four,245.0,3+,no,no,no,product_mng,medium
0.89,0.66,four,235.0,3+,no,no,no,IT,high
0.5,0.56,,266.0,2+,no,no,no,RandD,low
0.21,0.42,four,269.0,4+,yes,no,no,RandD,medium
0.79,0.67,three,264.0,2+,no,no,no,RandD,medium
0.66,0.57,three,161.0,2+,yes,no,no,RandD,medium
0.82,0.95,three,203.0,3+,no,no,no,RandD,medium
0.85,0.85,four,258.0,2+,no,no,no,marketing,low
0.72,0.96,three,143.0,3+,no,no,no,sales,low
0.52,0.92,three,214.0,3+,no,no,no,accounting,low
0.5,0.62,four,166.0,3+,yes,no,no,support,low
0.52,0.82,three,192.0,3+,no,no,no,technical,low
0.13,0.87,three,185.0,4+,yes,no,no,management,low
0.87,0.98,four,173.0,3+,no,no,no,marketing,low
0.53,0.98,two,163.0,3+,no,no,no,marketing,low
0.15,0.76,five,277.0,4+,no,no,no,marketing,low
0.64,0.86,five,274.0,2+,yes,no,no,sales,low
0.52,0.44,three,119.0,2+,no,no,no,sales,low
0.79,0.67,four,267.0,3+,no,no,no,sales,low
0.74,0.89,three,160.0,2+,no,no,no,sales,low
0.81,0.84,four,198.0,2+,no,no,no,sales,low
0.94,0.6,three,193.0,3+,no,no,no,sales,low
0.67,0.84,six,250.0,2+,no,no,no,sales,low
0.93,0.84,three,237.0,4+,yes,no,no,sales,low
0.52,0.96,four,170.0,2+,no,no,no,sales,low
0.48,0.74,two,157.0,2+,yes,no,no,sales,medium
0.57,0.92,six,267.0,4+,no,no,no,sales,medium
0.71,0.77,four,192.0,4+,no,no,no,sales,medium
0.9,0.74,four,218.0,2+,yes,no,no,sales,medium
0.58,0.61,four,210.0,3+,no,no,no,sales,medium
0.66,0.48,four,229.0,4+,no,no,no,sales,medium
0.59,0.66,three,186.0,3+,no,no,no,sales,medium
0.96,0.5,three,234.0,2+,yes,no,no,sales,medium
0.13,0.91,two,149.0,5+,no,no,no,sales,medium
0.93,0.92,three,205.0,3+,no,no,no,sales,medium
0.54,,three,148.0,4+,no,no,no,accounting,medium
0.54,0.77,five,270.0,3+,no,no,no,accounting,medium
0.87,0.62,three,176.0,3+,no,no,no,accounting,high
0.79,0.91,three,226.0,2+,no,no,no,hr,low
0.83,0.57,three,232.0,4+,no,no,no,hr,medium
0.73,0.6,three,137.0,3+,no,no,no,hr,medium
0.29,0.42,six,253.0,3+,no,no,no,hr,medium
0.8,0.7,six,231.0,4+,no,no,no,technical,medium
0.29,0.81,three,189.0,6+,no,no,no,technical,low
0.43,0.85,six,168.0,2+,no,no,no,technical,low
0.99,0.93,three,261.0,3+,no,no,no,technical,low
0.86,0.51,four,152.0,3+,no,no,no,technical,low
0.85,0.78,five,263.0,2+,yes,no,no,technical,low
0.66,0.68,three,258.0,3+,no,no,no,technical,low
0.57,0.99,three,205.0,3+,no,no,no,technical,low
0.31,0.64,six,183.0,2+,yes,no,no,technical,low
0.88,0.88,three,153.0,3+,no,no,no,technical,low
0.72,,five,194.0,4+,no,no,no,technical,low
0.75,0.66,four,202.0,2+,no,no,no,support,low
0.82,0.71,four,164.0,4+,no,no,no,support,low
0.82,0.67,three,213.0,2+,no,no,no,support,low
0.15,0.52,four,265.0,6+,no,no,no,support,low
0.16,0.88,six,218.0,3+,no,no,no,support,low
0.95,0.4,five,286.0,4+,no,no,no,support,low
0.87,0.73,three,172.0,3+,yes,no,no,support,low
0.85,0.89,four,251.0,2+,no,no,no,support,low
0.58,0.6,three,110.0,3+,yes,no,no,support,low
0.63,0.86,three,269.0,4+,no,no,no,support,low
0.69,0.68,three,151.0,3+,yes,no,no,support,low
0.53,0.85,five,161.0,2+,no,no,no,technical,medium
0.96,0.71,four,210.0,3+,no,no,no,technical,medium
0.73,0.83,two,167.0,3+,no,no,no,technical,medium
0.5,0.6,three,270.0,3+,yes,no,no,management,medium
0.81,0.83,three,133.0,3+,yes,no,no,IT,medium
0.82,0.59,three,249.0,3+,no,no,no,IT,medium
0.76,0.72,four,266.0,3+,no,no,no,IT,medium
0.27,0.82,four,276.0,2+,no,no,no,IT,medium
0.64,0.38,six,215.0,3+,no,no,no,IT,medium
0.57,0.9,three,262.0,2+,no,no,no,product_mng,medium
0.49,0.84,five,193.0,3+,no,no,no,product_mng,medium
0.66,0.92,two,102.0,4+,no,no,no,product_mng,medium
0.71,0.36,four,278.0,4+,yes,no,no,product_mng,high
0.61,0.63,three,250.0,4+,no,no,no,IT,low
0.52,0.89,five,193.0,4+,no,no,no,RandD,medium
0.62,0.91,three,133.0,3+,no,no,no,RandD,medium
0.98,0.65,four,216.0,4+,no,no,no,RandD,medium
0.67,0.56,five,174.0,2+,yes,no,no,RandD,medium
0.85,0.62,two,280.0,4+,no,no,no,RandD,low
0.84,0.85,four,246.0,2+,no,no,no,marketing,low
1.0,0.53,three,142.0,3+,no,no,no,sales,low
0.72,0.76,four,144.0,3+,yes,no,no,accounting,low
0.66,0.75,six,100.0,4+,yes,no,no,support,low
0.64,0.71,five,212.0,2+,no,no,no,technical,low
1.0,0.76,five,201.0,3+,no,no,no,management,low
0.75,0.59,five,206.0,2+,no,no,no,marketing,low
0.81,0.77,four,197.0,3+,no,no,no,marketing,low
0.31,0.98,five,232.0,5+,no,no,no,marketing,low
0.32,0.97,six,272.0,2+,no,no,no,sales,low
0.48,0.5,four,173.0,3+,no,no,no,sales,low
0.62,0.42,two,124.0,2+,no,no,no,sales,low
0.77,0.86,five,282.0,4+,no,no,no,sales,low
0.76,0.8,two,219.0,4+,yes,no,no,sales,low
0.68,0.41,three,106.0,6+,no,no,no,sales,low
0.72,0.79,four,192.0,4+,no,no,no,sales,low
0.87,0.91,five,190.0,2+,no,no,no,sales,low
0.59,0.57,two,156.0,2+,no,no,no,sales,low
0.7,0.64,three,180.0,2+,no,no,no,sales,low
0.73,0.81,four,245.0,2+,no,no,no,sales,low
0.58,0.62,three,169.0,2+,no,no,no,sales,medium
0.64,0.66,three,188.0,4+,no,no,no,sales,medium
0.89,0.66,five,224.0,2+,no,no,no,sales,medium
0.95,0.71,three,263.0,2+,yes,no,no,sales,medium
0.84,0.9,three,262.0,2+,no,no,no,sales,medium
0.6,0.99,four,225.0,3+,no,no,no,sales,medium
0.71,0.63,five,224.0,3+,yes,no,no,sales,medium
0.6,0.95,three,266.0,3+,no,no,no,sales,medium
0.91,0.68,three,218.0,3+,yes,no,no,accounting,medium
0.75,1.0,three,102.0,3+,no,no,no,accounting,medium
0.7,0.67,four,181.0,3+,no,no,no,accounting,medium
0.23,0.64,five,150.0,5+,no,no,no,hr,medium
0.73,0.83,four,270.0,2+,no,no,no,hr,high
0.99,0.49,four,270.0,2+,no,no,no,hr,low
0.62,0.68,five,265.0,3+,no,no,no,hr,medium
0.98,0.89,four,169.0,3+,no,no,no,technical,medium
0.61,0.94,three,224.0,4+,no,no,no,technical,medium
0.52,0.92,three,150.0,2+,yes,no,no,technical,medium
0.65,0.66,five,239.0,4+,no,no,no,technical,low
0.59,0.9,three,245.0,3+,yes,no,no,technical,low
0.71,0.8,three,182.0,2+,yes,no,no,technical,low
0.18,0.7,five,182.0,4+,no,no,no,technical,low
0.21,0.93,four,243.0,4+,no,no,no,technical,low
0.15,0.67,six,209.0,5+,no,no,no,technical,low
0.97,0.53,four,195.0,4+,no,no,no,technical,low
0.39,0.48,three,190.0,2+,no,no,no,technical,low
0.35,0.66,two,140.0,2+,no,no,no,support,medium
0.88,0.58,four,147.0,4+,no,no,no,support,medium
0.58,0.97,three,265.0,3+,no,no,no,support,medium
0.61,0.78,three,238.0,2+,no,no,no,support,medium
0.59,0.98,three,155.0,3+,no,no,no,support,medium
0.55,0.41,four,132.0,5+,yes,no,no,support,medium
0.52,0.8,five,257.0,3+,no,no,no,support,medium
0.71,0.77,two,255.0,3+,no,no,no,support,medium
0.63,0.82,five,229.0,2+,no,no,no,support,medium
